accession,name,Study Disease/Focus,Release Date,Ancestry (computed),Related Terms,description,principal_investigator,cited_publications,funding_source,study_type,external_study_url,gene_keywords,disease_keywords,participant_count,sample_count,limitations_for_reuse,assay_method,dbGaP_URL,gpa,doc,dataset_uuid,dataset_source_repo
phs002001,Clonal Evolution and Heterogeneity of Osimertinib Acquired Resistance    Mechanisms in EGFR Mutant Lung Cancer,Lung Neoplasms,2021-09-30,,Lung Tumor; Lung cancer; Lung neoplasm; Lung tumour; Neoplasm of Lung; Neoplasm of the Lung,"<p>Current understanding of acquired resistance to osimertinib in EGFR-mutant lung cancer is largely based on the use of targeted sequencing platforms and cell-free DNA. In this study we examined the clonal evolution and heterogeneity of acquired resistance mechanisms to osimertinib through whole exome and RNA-sequencing of prospectively collected pre-and post-osimertinib resistant tumors and metastases at rapid autopsy.</p> <p>We enrolled 34 patients with histologically confirmed EGFR mutant advanced lung adenocarcinoma in a prospective Phase II clinical trial to evaluate osimertinib treatment and the use of local ablative therapy (LAT) for oligoprogressive disease (<a href=""https://clinicaltrials.gov/ct2/show/NCT02759835"" target=""_blank"">NCT02759835</a>) in EGFR mutant NSCLC from April 2016 until data cutoff in September 2019. Patients were not selected based on oligometastatic status, rather 32/34 patients had multiple organ involvement, including lung, liver, adrenal, brain and bone. Biopsies or surgeries were performed pre-osimertinib treatment and at first progression on osimertinib. A subset of patients also underwent biopsies at second progression on osimertinib, and following end of life in-patient hospice and rapid autopsy upon death. 63% (n=15/24) of first-line osimertinib and 50% (n=5/10) of second-line osimertinib treated patients had RECIST defined partial response. Overall, 21 patients had RECIST defined first progression on osimertinib. Two patients on this trial discontinued treatment and were lost to follow up. Of the 21 patients who had RECIST defined progression, 14 patients underwent LAT (8 first-line and 6 second-line). Twelve patients had paired pre- and post-osimertinib resistant tumors and three had post-osimertinib resistant tumors available for analysis. Four patients (LAT002, LAT006, LAT014 and LAT021) consented for a rapid autopsy protocol and underwent rapid autopsy after deatH. To elucidate acquired osimertinib resistance mechanisms, we performed whole-exome (WES), targeted sequencing and RNA-seq on 66 tumors and matched germline DNA from tumor tissue obtained from a total of 15 patients.</p>","Udayan Guha, MD, PhD",,Intramural Research Program,Longitudinal,,BRAF;EGFR;MET,,15.0,133.0,GRU,RNA-Seq;WXS;Targeted-Capture,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002001,nan,nan,6284eaf9-c1a6-4745-856b-35ebfb5aff68,dbGaP
phs001027,Epigenomics Studies in Acute Myeloid Leukemia (AML),"Leukemia, Myeloid, Acute",2021-09-23,,AML; AML - Acute Myeloid Leukemia; AML - Acute myeloblastic leukemia; AML - acute myeloid leukaemia; AML adult; ANLL,<p>Acute Myeloid Leukemia (AML) remains a clinical challenge since most patients diagnosed with AML will die from the disease. Some patients harbor treatment-refractory disease and many others relapse with disease that in many cases is resistant to treatments. Our study was designed to understand the molecular basis of disease progression in AML through assessing genomics signatures in patient specimens collected through an international collaboration which assembled samples from 138 AML patients which experienced disease relapse and normal hematopoietic cells (n=15).</p> <p>It is hoped that this resource will help researchers understand mechanisms of disease relapse in AML and contribute to the general pool of data available for analyses for this disease and general research use.</p>,"Francine Garrett-Bakelman, MD, PhD",25260792;27322744;33580203;33500244,K08CA169055,Cohort;Epigenetics;Individual-Level Genomic Data,,,,155.0,961.0,GRU-PUB,WXS;WGS;Targeted-Capture;Seq_DNA_SNP_CNV;RNA-Seq;Bisulfite-Seq,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001027,nan,nan,d9d3cdcb-fa0a-4db8-8d99-f174afada822,dbGaP
phs001497,UCSF Adult Glioma Study,Glioma,2021-09-22,"European (1842), African (1), East Asian (60), African American (69), Hispanic1 (20), Hispanic2 (93), Other Asian or Pacific Islander (41), South Asian (17), Other (32)",Glial Cell Tumor; Glial Cell Tumors; Glial Neoplasm; Glial Tumor; Neoplasm of Neuroglia; Neoplasm of the Neuroglia,"<p>The UCSF Adult Glioma Study is a case-control study conducted at the University of California, San Francisco. The goals of the study were to discover inherited (genetic), developmental, immunologic and other risk factors for glioma and to determine molecular level tumor markers that would be helpful in classifying glioma into more homogeneous groups.</p>","Margaret Wrensch, PhD;John Wiencke, PhD",19578366;26061753;28346443,R01CA52689;P50CA097257;R01CA139020,Case-Control,,,,3173.0,3173.0,DS-BT-CA-MDS;GRU,Array_SNP;Array_DNA_Methylation,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001497,nan,nan,784b5721-8ca1-4038-a88d-2b0e9b7c48b5,dbGaP
phs002421,Transcriptomic Profiling of Patient Derived Alternative Lengthening of    Telomeres (ALT) and Non-MYCN-Amplified Neuroblastoma Cell Lines,Neuroblastoma,2021-09-20,,Not Provided,"<p>Patient derived neuroblastoma cell lines are excellent tools to study biology of the disease. While many previous studies sequenced neuroblastoma cell lines, there are very few ALT and non-<i><a href=""https://www.ncbi.nlm.nih.gov/gene/4613"" target=""_blank"">MYCN</a></i>-amplified neuroblastoma cell lines that were sequenced previously. Here, we present raw RNA sequencing data for 3 ALT (CHLA-90, SK-N-FI, COG-N-515) and 8 non-<i>MYCN</i>-amplified telomerase positive (CHLA-171, Felix, COG-N-579h, COG-N-615, COG-N-618h, COG-N-619h, COG-N-708h, COG-N-709) neuroblastoma cell lines. Additionally, gene expression data are provided as a supplement files.</p>","C. Patrick Reynolds, MD, PhD",34408079;34408079,,Cohort,,,,11.0,11.0,GRU,RNA-Seq;Seq_RNA_Expression,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002421,nan,nan,af5e8844-0c5f-4706-9553-3831f4f4c2f9,dbGaP
phs002545,Nivolumab and Ipilimumab and Radiation Therapy in Microsatellite Stable    (MSS) and Microsatellite Instable (MSI) High Colorectal and Pancreatic    Cancer,Immunotherapy,2021-09-17,,"CRC; Cancer of Large Bowel; Cancer of Large Intestine; Cancer of the Large Bowel; Cancer of the Large Intestine; Cancer, Colorectal","This is a single-arm, non-randomized, phase 2 trial (<a href=""https://clinicaltrials.gov/ct2/results?term=NCT03104439"" target=""_blank"">NCT03104439</a>) combining radiation, ipilimumab and nivolumab in patients with metastatic MSS Colorectal Cancer (CRC; n=40) and Pancreatic Ductal Adenocarcinoma Cancer (PDAC; n=25). Patients were previously treated population, and the primary endpoint was disease control rate. Pre- and post-treatment samples were subjected to RNA sequencing and whole exome sequencing. The primary data is shared via GEO and dbGaP at <a href=""https://www.ncbi.nlm.nih.gov/"" target=""_blank"">National Center for Biotechnology Information (NCBI), National Institutes of Health&#160;(NIH)</a>.",Theodore S. Hong;Aparna R. Parikh;David T. Ting,,SU2C-AACR-DT22-17;P50CA127003;Career Development Award;SU2C-Lustgarten;Robert L. Fine Cancer Research Foundation (RLFCRF),Case Set;Clinical Trial,https://www.clinicaltrials.gov/ct2/show/NCT03104439,,Colorectal Neoplasms;Pancreatic Neoplasms,26.0,72.0,HMB,WXS,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002545,nan,nan,38252b3b-6d2f-4c93-bb60-11a220156a42,dbGaP
phs001882,OncoArray: Follow-up of Ovarian Cancer Genetic Association and    Interaction Studies (FOCI),"Carcinoma, Ovarian Epithelial",2021-09-13,"European (38518), African (79), East Asian (6355), African American (1730), Hispanic1 (191), Hispanic2 (808), Other Asian or Pacific Islander (881), South Asian (244), Other (267)","Genital Neoplasms, Female; Cancer, Epithelial Ovarian; Cancer, Ovarian Epithelial; Carcinoma of Ovary; Carcinoma of the Ovary; Carcinoma, Epithelial Ovarian","<p>The Follow-up of Ovarian Cancer Genetic Association and Interaction Studies (FOCI) was one of five projects funded in 2010 as part of the NCI's Genetic Associations and Mechanisms in Oncology (GAME-ON) initiative (<a hef=""http://epi.grants.cancer.gov/gameon/"" href=""http://epi.grants.cancer.gov/gameon/"">http://epi.grants.cancer.gov/gameon/</a>). FOCI represents a collective effort that builds upon the strengths and history of collaboration inherent in the Ovarian Cancer Association Consortium (OCAC), a multidisciplinary group comprised of epidemiologists, genetic epidemiologists, statistical geneticists, molecular and cell biologists and clinicians that was formed in 2005. The other four funded GAME-ON projects were: the ColoRectal TransdisciplinaryStudy (CORECT), Elucidating Loci Involved in Prostate Cancer Susceptibility (ELLIPSE), Discovery, Biology, and Risk of Inherited Variants in Breast Cancer (DRIVE), and Transdisciplinary Research in Cancer of the Lung (TRICL).</p> <p>As part of our aim to discover, expand, and replicate ovarian cancer susceptibility loci, the GAME-ON projects and other consortia formed the OncoArray network (<a hef=""http://epi.grants.cancer.gov/oncoarray/"" href=""http://epi.grants.cancer.gov/oncoarray/"">http://epi.grants.cancer.gov/oncoarray/</a>) to develop and genotype a new custom genotyping array in large numbers of cancer cases and controls (over 400,000 samples) across multiple cancer types. The FOCI data includes over 50,000 ovarian cancer cases and controls genotyped with the Oncoarray at the Center for Inherited Disease Research (CIDR). Genotype calling and quality control procedures were performed under a standardized protocol across the Oncoarray consortium, and over 490,000 SNPs passed QC and are included under this dbGaP submission. </p>","Thomas A. Sellers, PhD",28346442;30898391;31043753;30054336;31001917;30683880;30559148;30499236,U19-CA148112;R01-CA149429;R01-CA058598;CA1X01HG007491-01;HHSN268201200008I,Case-Control,https://epi.grants.cancer.gov/oncoarray/,,"Genital Neoplasms, Female;Genome-Wide Association Study",50315.0,50671.0,DS-BROC;DS-OVCA;DS-BRCA-MDS;DS-CA-PUB;GRU;HMB-PUB-NPU;HMB;DS-CA-MDS;GRU-COL;DS-OVCA-NPU;DS-OVTU;DS-CA;OVCA;HMB-PUB;GRU-PUB-NPU;DS-BOED-MDS;GRU-NPU;DS-OVCA-NPU-MDS;DS-OVCA-MDS;CADM;HMB-PUB-MDS;DS-OVCA-MDS-GSO;DS-BCEMOPCA-NPU-MDS;DS-CA-NPU-GSO,Array_SNP,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001882,nan,nan,3d5a18eb-f271-4a76-8497-884be467a60e,dbGaP
phs002462,Circulating Tumor Cell Heterogeneity in Neuroendocrine Prostate Cancer by    Single Cell Copy Number Analysis,Prostatic Neoplasms,2021-09-09,,"Carcinoma, Neuroendocrine; NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic","<p>Neuroendocrine prostate cancer (NEPC) is an aggressive variant of prostate cancer that may arise de novo or develop from pre-existing prostate adenocarcinoma as a mechanism of treatment resistance. Combined loss of tumor suppressors RB1, TP53, PTEN are frequent in NEPC but also present in a subset of prostate adenocarcinomas. Most clinical and preclinical studies support a trans-differentiation process, whereby NEPC arises clonally from a prostate adenocarcinoma precursor during the course of treatment resistance. Here we highlight a case of NEPC with significant intra-patient heterogeneity observed across metastases. We further demonstrate how single-cell genomic analysis of circulating tumor cells combined with phenotypic evaluation of cellular diversity can be considered as a window into tumor heterogeneity in patients with advanced prostate cancer. </p><p></p><p>We performed whole genome sequencing of circulating tumor cells (CTCs) from patients with castration resistant adenocarcinoma (n=4) and neuroendocrine prostate cancer (n=8). CTCs were collected via Epic Sciences platform and single CTC genomic data (n=215) generated via Illumina NextSeq500.&#160;<br></p>",Himisha Beltran,,P50CA211024,Case Set,,,"Carcinoma, Neuroendocrine",12.0,215.0,DS-PC-IRB,Seq_DNA_SNP_CNV_SC;WGS,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002462,nan,nan,8235356d-f0ed-4c43-aad0-cd76d5f622fa,dbGaP
phs002377,A Phase I/IB Study of Ipilimumab or Nivolumab in Patients With Relapsed    Hematologic Malignancies After Allogeneic Hematopoietic Cell    Transplantation,Hematologic Neoplasms,2021-09-03,,"Relapse; HEMOLYMPHORETICULAR tumor, malignant; Hematopoietic Malignancies; Hematopoietic Malignancy; Hematopoietic Neoplasm; Hematopoietic Neoplasms Including Lymphomas",Relapse after allogeneic hematopoietic stem cell transplantation (HSCT) is characterized by poor outcomes and novel therapeutic options are urgently needed. Immune checkpoint blockade using CTLA-4 and PD-1 blocking antibodies are a potential concept for reinstating a dormant graft-versus-leukemia (GvL) effect.This study investigated transcriptomic changes in biopsies obtained from patients who received immune checkpoint blockade for relapsed hematologic malignancy post-HSCT and elucidated transcriptional programs associated with successful reinvigoration of GvL. Differential gene expression analysis showed evidence of increased T cell infiltration in biopsies of responders to ipilimumab treatment and demonstrated shared gene programs between GvL and GvHD. <div><br></div>,Catherine J. Wu,32478814;27410923,P01CA229092;U24CA224331;U24CA224316;U24CA224319;5R01CA183559;5R01CA183560;5UM1CA186709;P01CA190174;U01DK124165,Clinical Trial,,CD80;CD86;CTLA-4;PD-1;PD-L1,"Relapse;Allogeneic Grafting;Stem Cell Transplantation, Hematopoietic;Immune Checkpoint Inhibitor",36.0,78.0,HMB-COL,RNA-Seq,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002377,nan,nan,6e6846de-713c-4b54-9cea-ef1ab0d5754e,dbGaP
phs002229,Germ Cell Tumor Molecular Heterogeneity Revealed through Analysis of    Primary and Metastasis Pairs,"Neoplasms, Germ Cell and Embryonal",2021-08-30,,"Testicular Neoplasms; Germ Cell and Embryonal Neoplasms; Germ Cell and Embryonic Neoplasms; Neoplasms, Germ Cell and Embryonic; Neoplasm of Testis; Neoplasm of the Testis","<p> <strong>Purpose: </strong> While primary germ cell tumors (GCTs) have been extensively characterized, molecular analysis of metastatic sites has been limited. We performed whole-exome sequencing and targeted next-generation sequencing on paired primary and metastatic GCT samples in a patient cohort enriched for cisplatin-resistant disease. </p> <p> <strong>Experimental Design:</strong> Tissue sequencing was performed on 100 tumor specimens from 50 patients with metastatic GCT, and sequencing of plasma cell-free DNA (cfDNA) was performed for a subset of patients. </p> <p> <strong> Data is being provided for a subset of 10 patients whose samples were analyzed using whole-exome sequencing. </strong> </p> <p> <strong>Results: </strong> The mutational landscape of primary and metastatic pairs from GCT patients was highly discordant (68% of all somatic mutations were discordant). Whereas genome duplication was common and highly concordant between primary and metastatic samples, only 25% of primary-metastasis pairs had =50% concordance at the level of DNA copy number alterations (CNAs). Evolutionary-based analyses revealed that most mutations arose after CNAs at the respective loci in both primary and metastatic samples, with oncogenic mutations enriched in the set of early occurring mutations versus variants of unknown significance (VUS). <em>TP53</em> pathway alterations were identified in nine cisplatin-resistant cases and had the highest degree of concordance in primary and metastatic specimens, consistent with their association with this treatment-resistant phenotype. </p> <p> <strong>Conclusions: </strong> Analysis of paired primary and metastatic GCT specimens revealed significant molecular heterogeneity for both CNAs and somatic mutations. Among loci demonstrating serial genetic evolution, most somatic mutations arose after CNAs but oncogenic mutations were enriched in the set of early occurring mutations as compared to VUS. Alterations in <em>TP53</em> were clonal when present and shared among primary-metastasis pairs. </p> <strong> <em> Reprinted from pending publication, with permission from JCO Precision Oncology. </em> </strong>","Darren Feldman, MD",33163850,P30 CA008748;The Marie-Josee and Henry R. Kravis Center for Molecular Oncology,Case Set,,MDM2;PIK3CD;TP53;BCL2L11;SETD2,"Drug Resistance, Neoplasm;Testicular Neoplasms",10.0,30.0,GRU,WXS,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002229,nan,nan,5f3c7be3-5be6-44d7-a5f4-6bfe9ca9549d,dbGaP
phs002056,Genetic Factors associated with Conversion from Active Surveillance to    Treatment for Prostate Cancer,Prostatic Neoplasms,2021-08-25,"European (5370), African (40), East Asian (134), African American (407), Hispanic1 (63), Hispanic2 (127), Other Asian or Pacific Islander (35), South Asian (91), Other (56)","Death; Neoplasm Metastasis; Neoplasm Recurrence, Local; Deceased; End Of Life; End-Of-Life","<p>This is a genome-wide association study (GWAS) of conversion from active surveillance (AS) for prostate cancer (PC) to treatment. AS is the monitoring with screening tests and/or biopsies over time of men usually with low-risk, early-stage PC to avoid harmful side effects of PC treatment. ""Conversion"" refers to patients who withdraw from AS (switch to active treatment) due to changes in their cancer development, anxiety about delayed treatment, or other reasons. Patients who converted because of anxiety alone were censored in the GWAS analysis. The overall goal of this study is to develop an easily measurable, germline-based panel of genetic variants to aid in selecting PC patients appropriate for AS and/or the intensity of monitoring.</p> <p>In total, 6,324 PC patients from 28 collaborating institutions are included in this study. Patients are those with PC who are either on AS or who have previously converted from AS to treatment. In this study, 70% of all subjects were diagnosed with very low-risk, low-risk, or low-volume intermediate-risk PC (Kryvenko and Epstein, 2016; <a href=""https://pubmed.ncbi.nlm.nih.gov/26709152/"" target=""_blank"">PMID: 26709152</a>) and have been enrolled in an AS program. <br></p> <p>DNA was extracted from blood, saliva, or formalin-fixed, paraffin-embedded (FFPE) tissue collected from the study subjects at the participating sites. Genotyping, quality control processes, and imputation were performed at the Center for Inherited Disease Research (CIDR) at Johns Hopkins University. CIDR used the Illumina Infinium Multi-Ethnic Global Array (MEGA) version 1, which included genome-wide tag SNPs and 10,000 SNPs selected with custom content. Quality control and assurance (QC/QA) checks on genotyped data involved four domains: sample-level checks, batch effects, SNP-level checks, and preliminary association tests. Samples and SNPs passing the QC/QA checks were imputed to appropriate reference panels (HRC r1.1 for patients of European ancestry) using the Michigan Imputation Server (<a href=""https://pubmed.ncbi.nlm.nih.gov/27571263/"" target=""_blank"">PMID: 27571263</a>). Unmeasured genetic variants were imputed using the Trans-Omics for Precision Medicine (TOPMed) Imputation Server, with 97,256 reference samples and 308,107,085 SNPs. Variants with imputation quality (INFO) score &lt; 0.3 were excluded, leaving a total of 22,691,641 SNPs successfully imputed. After QC steps, a total of 5,936 samples genotyped at CIDR remained for inclusion in the GWAS.<br></p>","William Catalona, MD",26709152;27571263;29892016;34993496,"P50-CA180995;HHSN268201700006I, NIH contract ""High throughput genotyping for studying the genetic contributions to human disease"";Research Award",Case Set,,,"Prostatectomy;Watchful Waiting;Prostate-Specific Antigen;Neoplasm Recurrence, Local;Neoplasm Metastasis;Death",6394.0,6577.0,NRUP;HMB-PUB-MDS;DS-PC-IRB-PUB-MDS;DS-PC-PUB-NPU-MDS;DS-CA-MDS;DS-PC-MDS;HMB-IRB-MDS;DS-PC-IRB-MDS;DS-PC-PUB-MDS;DS-PC;HMB-MDS;GRU;DS-PC-IRB-NPU-MDS,Array_SNP_CNV;Imputation_SNP_CNV,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002056,nan,nan,c1639287-aa42-443c-9acd-cb71b0f202bf,dbGaP
